BVs	PFBA	PFPeA	PFHxA	PFHpA	PFOA	PFNA	PFDA	PFMOAA	PMPA	GenX	NBP 1	NBP 2-1	NBP 2-2	PFBS	PFHxS	PFOS	4:2 FTS	6:2 FTS	8:2 FTS
INITIAL	0.43085	0.3624	0.36086	0.32508	0.3498	0.28796	0.16063	0.51551	0.33057	0.30931	0.29046	0.34517	0.32633	0.24665	0.29068	0.20807	0.29189	0.31353	0.17185
MIDPOINT	0.45777	0.36423	0.36697	0.3257	0.359	0.28924	0.15373	0.52022	0.33632	0.33156	0.2976	0.29943	0.32023	0.23894	0.30236	0.22192	0.32583	0.31242	0.16144
2500		0.00149	0.00738	0.00409	0.00936	0.00447	0.00948	0.00669	0.00049		0.00242	0.00381	0.00495	0.00077	0.00298	0.0045		0.00273	0.004
5000	0.00209	0.00474	0.00996	0.00577	0.01418	0.00823	0.00867	0.03116	0.0066	0.0046	0.00256	0.00411	0.00538	0.00088	0.00234	0.00466	0.00399	0.00314	0.00505
7500	0.3764	0.01222	0.0133	0.00801	0.01598	0.00816	0.01205	0.07587	0.01789	0.00984	0.00838	0.00461	0.00574	0.00107	0.0029	0.00461	0.01072	0.00748	0.00559
10000	0.04687	0.01809	0.01353	0.00866	0.01212	0.00669	0.0118	0.12616	0.032	0.01299	0.00359	0.00437	0.00525	0.00134	0.00322	0.00529	0.01646	0.00889	0.00597
15000	0.14497	0.03797	0.02511	0.01552	0.03416	0.01369	0.01244	0.28158	0.07769	0.02449	0.0057	0.00565	0.00627	0.00175	0.00339	0.00486	0.04282	0.01463	0.00631
20000	0.22141	0.06716	0.03413	0.01711	0.01952	0.01208	0.01056	0.44489	0.13389	0.03572	0.00633	0.0064	0.00762	0.00246	0.00437	0.00515	0.07761	0.02089	0.00873
25000	0.34534	0.1099	0.04634	0.02479	0.02457	0.01616		0.55472	0.19817	0.0532	0.00721	0.00791	0.00834	0.00354	0.00617	0.00539	0.11622	0.02674	0.01411
30000	0.45029	0.15506	0.06729	0.03242	0.03437	0.01793	0.01562	0.64085	0.27526	0.07584	0.01027	0.00984	0.01029	0.00472	0.00383	0.00583	0.17412	0.03896	0.01307
35000	0.57793	0.22261	0.09591	0.04611	0.03915	0.02238	0.01632	0.71549	0.38052	0.10622	0.01267	0.01243	0.01286	0.00613	0.00799	0.00645	0.23033	0.05508	0.01769
40000	0.52572	0.2397	0.10009	0.04568	0.03982	0.02117	0.01657	0.57285	0.35758	0.10661	0.01251	0.0119	0.01348	0.00774	0.00843	0.00655	0.23216	0.05847	0.01617
45000	0.58512	0.31046	0.13119	0.05639	0.0434	0.02414	0.01659	0.60431	0.42904	0.13666	0.01535	0.01427	0.01495	0.0077	0.00799	0.006	0.31034	0.06712	0.02231
50000	0.57419	0.3453	0.14658	0.06367	0.05041	0.03179	0.02093	0.57364	0.45024	0.15657	0.01571	0.01621	0.01752	0.01134	0.01049	0.00805	0.31391	0.08246	0.02596
60000	0.52377	0.42148	0.1921	0.08383	0.06412	0.03908	0.02784	0.52331	0.43026	0.18923	0.01927	0.01841	0.01944	0.01301	0.01263	0.01068	0.37268	0.10133	0.03806
70000	0.49496	0.47146	0.24719	0.11305	0.0808	0.0461	0.03224	0.50896	0.41151	0.26121	0.02824	0.02495	0.02503	0.01581	0.01451	0.01316	0.37211	0.13619	0.03904
80000	0.57965	0.60897	0.37126	0.17005	0.11678	0.06548	0.03581	0.61706	0.47955	0.32589	0.0375	0.03393	0.03658	0.02733	0.02391	0.01455	0.43563	0.19902	0.04268
90000	0.50062	0.49673	0.36501	0.17233	0.11354	0.06936	0.04167	0.53899	0.40692	0.34054	0.24074	0.04964	0.045	0.03924	0.02722	0.0182	0.37877	0.19365	0.05416
100000	0.44039	0.47322	0.38041	0.19057	0.12103	0.06959	0.04007	0.4699	0.34938	0.34121	0.04014	0.03798	0.03338	0.03053	0.02595	0.01722	0.35181	0.21251	0.0476
110000	0.46272	0.44905	0.42852	0.21355	0.14403	0.08926	0.05773	0.49528	0.35913	0.35249	0.04544	0.04254	0.04308	0.04028	0.03007	0.02616	0.35595	0.23322	0.09332
130000	0.45294	0.44454	0.46277	0.26194	0.16377	0.0877	0.04324	0.51039	0.35316	0.37766	0.05232	0.04942	0.04294	0.05164	0.03421	0.01878	0.31898	0.27057	0.06118
150000	0.44244	0.40359	0.45872	0.29901	0.20702	0.10998	0.04501	0.49364	0.36053	0.39035	0.07558	0.06849	0.06215	0.0617	0.04874	0.02522	0.32731	0.28665	0.06616
170000	0.46692	0.41148	0.46297	0.34386	0.23589	0.1527	0.09051	0.51535	0.36677	0.37313	0.09906	0.09257	0.08836	0.09048	0.06644	0.05229	0.31983	0.33562	0.13137
190000	0.43171	0.39203	0.41461	0.33149	0.23259	0.13	0.06335	0.47471	0.33043	0.35008	0.08706	0.08224	0.08576	0.10355	0.07097	0.03852	0.29578	0.31149	0.07889
210000	0.43163	0.3879	0.41205	0.34137	0.25133	0.15419	0.08562	0.48992	0.34159	0.3446	0.10535	0.09721	0.09865	0.12076	0.08035	0.05213	0.30189	0.32416	0.11209
230000	0.43687	0.36966	0.43447	0.35697	0.26595	0.15748	0.06939	0.51749	0.35861	0.33051	0.11179	0.10277	0.10659	0.14085	0.09278	0.04945	0.28507	0.33544	0.09137
250000	0.46001	0.38396	0.40598	0.37683	0.29518	0.18164	0.08721	0.56651	0.37304	0.33327	0.12527	0.11749	0.12377	0.13593	0.10317	0.06296	0.33115	0.34869	0.12283
