BVs	PFBA	PFPeA	PFHxA	PFHpA	PFOA	PFNA	PFDA	PFMOAA	PMPA	GenX	NBP 1	NBP 2-1	NBP 2-2	PFBS	PFHxS	PFOS	4:2 FTS	6:2 FTS	8:2 FTS
INITIAL	0.37766	0.3639	0.36364	0.354	0.33525	0.31413	0.17156	0.31935	0.23932	0.33865	0.25114	0.2782	0.29502	0.31588	0.22494	0.20351	0.31073	0.27935	0.14809
MIDPOINT	0.42649	0.37851	0.37703	0.39954	0.38728	0.31163	0.23785	0.32718	0.24932	0.34392	0.27971	0.3118	0.318	0.36643	0.3654	0.31619	0.33161	0.32789	0.21268
2500			0.00748		0.00381		0.00388	0.00051											0.00073
16650	0.00108		0.00241				0.00482	0.04904								0.01015			0.00065
20000	0.04291	0.00152	0.00392		0.00135		0.00476	0.08499	0.01281								0.00462		0.00146
25000	0.08845	0.00387	0.01176		0.0051		0.00421	0.11254	0.02072								0.01123		0.0012
30000	0.32784	0.00811	0.01023		0.00167		0.00488	0.15115	0.02874								0.01727		0.00175
35000	0.14378	0.02233	0.02313	0.00161	0.00281		0.00373	0.1815	0.05858	0.0084						0.01053	0.02216		0.00057
40000	0.16057	0.0246	0.00899				0.00315	0.22843	0.06987	0.00234							0.0398		0.00099
50000	0.21227	0.04789	0.0189	0.00022	0.00206		0.00275	0.30017	0.09024	0.0091							0.06321		0.0015
60000	0.28459	0.07458	0.05435	0.00473	0.00698	0.00207	0.00739	0.33293	0.12332	0.03966					0.01321		0.08261	0.00078	0.00054
70000	0.31381	0.10232	0.02449	0.00335	0.00312		0.00287	0.35005	0.14923	0.02043					0.01122		0.11463	0.0028	0.00092
80000	0.38415	0.1284	0.03262	0.00543	0.00241	0.00001	0.00349	0.35086	0.18186	0.03519							0.13994	0.00726	0.00121
90000	0.42876	0.16294	0.04599	0.00874	0.00405	0.00023	0.00543	0.35221	0.25285	0.04929	5.54321	0.22742	0.24099	0.28002	0.06586	0.04288	0.24398	0.06329	0.04802
100000	0.42438	0.18307	0.05466	0.01	0.00183		0.00307	0.32487	0.27549	0.05599							0.18429	0.00736	0.00051
110000	0.42383	0.21378	0.07485	0.01729	0.00904	0.00045	0.00351	0.32694	0.28967	0.07631	0.00485		0.0003				0.23769	0.02019	0.00274
120000	0.46113	0.26756	0.08486	0.02251	0.00997	0.00155	0.00513	0.35144	0.28431	0.09178		0.00043	0.00049				0.26843	0.02784	0.0027
130000	0.46989	0.30596	0.11758	0.02927	0.01344	0.00105	0.00375	0.3479	0.34652	0.11377							0.30363	0.03244	0.00401
150000	0.45408	0.37394	0.14346	0.04095	0.01559	0.00389	0.00549	0.33834	0.35492	0.13993		0.00007	0.00055				0.36933	0.05025	0.00359
170000	0.42495	0.39464	0.1682	0.04931	0.01453	0.00264	0.00581	0.3223	0.28447	0.17068							0.40674	0.05619	0.00248
190000	0.40917	0.44578	0.21026	0.07391	0.02518	0.00328	0.00401	0.3205	0.27038	0.1981	0.0588	0.0027	0.00304				0.41813	0.08661	0.00423
210000	0.47422	0.56304	0.28806	0.10799	0.03532	0.00817	0.0061	0.37486	0.36173	0.29454	0.00228	0.00059	0.00065				0.49195	0.11	0.00694
230000	0.39186	0.49453	0.29309	0.11904	0.04061	0.01038	0.00706	0.32491	0.27138	0.29279		0.0006	0.00104		0.01263	0.01054	0.44909	0.12143	0.0105
250000	0.38583	0.48336	0.34862	0.14951	0.25813	0.01373	0.00876	0.31398	0.29463	0.34954	0.00083	0.00158	0.00267	0.00283		0.01576	0.42991	0.15449	0.00982
