name,param,value,pct_change,rmse
kf_m75,kf,0.025,-0.75,0.0003556843130384194
baseline,baseline,,0,0.0003853021529306065
surface_diffusion_m75,surface_diffusion,1.25E-10,-0.75,0.0030375622019296407
kf_p400,kf,0.5,4,0.0004783931187137432
surface_diffusion_p400,surface_diffusion,2.50E-09,4,0.0004890353345720491
pore_diffusion_p400,pore_diffusion,2.50E-05,4,0.0003706276039719269
pore_diffusion_m75,pore_diffusion,1.25E-06,-0.75,0.0003957257477982837
particle_porosity_m75,particle_porosity,0.125,-0.75,0.00039574873627573886
particle_radius_m75,particle_radius,0.0175,-0.75,0.000851408603079416
particle_radius_p50,particle_radius,0.105,0.5,0.0013365823351098015
particle_porosity_p50,particle_porosity,0.75,0.5,0.0003809016640405509
